target_id	est_counts	tpm
ENSMUST00000068825.7	48.1942	503.5758
ENSMUST00000108988.8	166.8793	1743.7021
ENSMUST00000144458.7	0.1949	2.0370
ENSMUST00000034738.13	138.0000	1441.9460
ENSMUST00000043962.8	201.0000	2100.2257
ENSMUST00000043722.9	136.0000	1421.0482
ENSMUST00000027232.13	99.0000	1034.4395
ENSMUST00000076587.4	99.0000	1034.4395
ENSMUST00000027384.5	10.0000	104.4888
ENSMUST00000030795.9	185.6250	1939.5741
ENSMUST00000033063.14	3.3681	35.1929
ENSMUST00000022242.8	212.0000	2215.1634
ENSMUST00000025208.5	112.0000	1170.2750
ENSMUST00000106197.9	118.6068	1239.3087
ENSMUST00000067936.5	33.3932	348.9217
ENSMUST00000073868.8	27.0000	282.1199
ENSMUST00000051477.12	101.0000	1055.3373
ENSMUST00000186154.6	26.7494	279.5015
ENSMUST00000108125.8	26.7494	279.5015
ENSMUST00000190646.6	11.4709	119.8579
ENSMUST00000132846.1	91.5233	956.3162
ENSMUST00000090749.12	1.4767	15.4300
ENSMUST00000025196.8	108.0000	1128.4795
ENSMUST00000041611.11	114.0700	1191.9047
ENSMUST00000108681.7	0.0000	0.0000
ENSMUST00000108682.8	104.9300	1096.4009
ENSMUST00000108680.1	0.0000	0.0000
ENSMUST00000147276.7	0.0000	0.0000
ENSMUST00000190277.1	216.0000	2256.9590
ENSMUST00000082409.1	216.0000	2256.9590
ENSMUST00000110855.7	83.0000	867.2574
ENSMUST00000050487.14	431.7618	4511.4288
ENSMUST00000097563.8	1209.1458	12634.2243
ENSMUST00000036493.7	122.0000	1274.7639
ENSMUST00000202200.1	36.6728	383.1896
ENSMUST00000103426.2	129.5543	1353.6975
ENSMUST00000177715.7	1207.4457	12616.4605
ENSMUST00000025439.3	239.0000	2497.2833
ENSMUST00000103101.10	167.2120	1747.1790
ENSMUST00000027626.12	187.0000	1953.9413
ENSMUST00000071399.12	58.5555	611.8399
ENSMUST00000103141.3	291.0000	3040.6253
ENSMUST00000080926.12	332.0000	3469.0295
ENSMUST00000029005.3	168.0000	1755.4125
ENSMUST00000115168.8	181.9602	1901.2813
ENSMUST00000042869.6	0.0000	0.0000
ENSMUST00000034834.15	338.0000	3531.7228
ENSMUST00000183204.1	60.2500	629.5453
ENSMUST00000061280.16	60.2500	629.5453
ENSMUST00000182892.7	60.2500	629.5453
ENSMUST00000182823.1	60.2500	629.5453
ENSMUST00000090569.9	23.0000	240.3243
ENSMUST00000025186.14	47.0599	491.7239
ENSMUST00000169397.7	0.0000	0.0000
ENSMUST00000170491.7	74.9401	783.0400
ENSMUST00000067664.9	252.0000	2633.1188
ENSMUST00000112059.9	111.4202	1164.2172
ENSMUST00000026737.11	111.4202	1164.2172
ENSMUST00000198639.1	88.1467	921.0342
ENSMUST00000025211.4	72.0000	752.3197
ENSMUST00000117399.1	577.6097	6035.3768
ENSMUST00000041783.13	214.9997	2246.5069
ENSMUST00000039796.13	125.9621	1316.1631
ENSMUST00000118936.7	0.0379	0.3962
ENSMUST00000041683.8	109.0000	1138.9284
ENSMUST00000189503.6	0.0000	0.0000
ENSMUST00000027478.6	125.0000	1306.1105
ENSMUST00000002444.13	121.5773	1270.3475
ENSMUST00000086801.5	62.4227	652.2471
ENSMUST00000006181.6	99.0000	1034.4395
ENSMUST00000071641.4	115.6224	1208.1247
ENSMUST00000082223.12	70.3776	735.3677
ENSMUST00000033664.13	350.8083	3665.5554
ENSMUST00000020365.14	154.1666	1610.8689
ENSMUST00000141962.7	30.8334	322.1746
ENSMUST00000035170.12	3.0000	31.3467
ENSMUST00000016703.7	188.2316	1966.8105
ENSMUST00000136872.7	25.3810	265.2026
ENSMUST00000214148.1	25.3810	265.2026
ENSMUST00000150232.7	0.6190	6.4684
ENSMUST00000214378.1	0.6190	6.4684
ENSMUST00000148900.7	335.0000	3500.3762
ENSMUST00000025804.5	341.0000	3563.0695
ENSMUST00000169308.7	193.0000	2016.6346
ENSMUST00000102525.10	41.0000	428.4042
ENSMUST00000037906.5	127.0000	1327.0083
ENSMUST00000149936.1	0.1495	1.5623
ENSMUST00000061242.7	59.8003	624.8468
ENSMUST00000163300.7	50.1997	524.5305
ENSMUST00000025375.13	124.9322	1305.4021
ENSMUST00000136983.7	138.7678	1449.9685
ENSMUST00000118623.1	38.2322	399.4840
ENSMUST00000045897.14	401.0000	4190.0025
ENSMUST00000045356.7	15.0000	156.7330
ENSMUST00000021425.7	86.0000	898.6040
ENSMUST00000131374.7	84.9742	887.8858
ENSMUST00000106588.7	0.0121	0.1261
ENSMUST00000053766.13	28.0000	292.5688
ENSMUST00000095342.9	65.0000	679.1775
ENSMUST00000103173.9	58.7495	613.8664
ENSMUST00000030385.12	86.5417	904.2637
ENSMUST00000103410.2	665.9551	6958.4871
ENSMUST00000006467.13	24.1211	252.0387
ENSMUST00000094695.11	107.0000	1118.0306
ENSMUST00000014990.12	24.0000	250.7732
ENSMUST00000021077.3	327.0000	3416.7851
ENSMUST00000053429.9	116.0000	1212.0706
ENSMUST00000170438.7	0.0000	0.0000
ENSMUST00000002176.12	13.4992	141.0515
ENSMUST00000114924.9	0.0000	0.0000
ENSMUST00000114934.10	13.4992	141.0515
ENSMUST00000100429.10	70.2175	733.6946
ENSMUST00000183209.7	15.3419	160.3053
ENSMUST00000182851.7	0.0000	0.0000
ENSMUST00000182706.7	11.6232	121.4497
ENSMUST00000182879.7	81.8190	854.9175
ENSMUST00000161523.7	85.9999	898.6032
ENSMUST00000099991.10	154.1888	1611.1007
ENSMUST00000126869.1	9.8745	103.1772
ENSMUST00000143682.7	2.9574	30.9013
ENSMUST00000115163.3	2.9574	30.9013
ENSMUST00000023952.8	353.0000	3688.4561
ENSMUST00000111299.7	47.3358	494.6058
ENSMUST00000111300.7	47.3358	494.6058
ENSMUST00000064950.10	20.3284	212.4095
ENSMUST00000097467.7	0.0000	0.0004
ENSMUST00000035033.6	164.0000	1713.6170
ENSMUST00000042105.10	216.0000	2256.9590
ENSMUST00000167273.1	0.0000	0.0000
ENSMUST00000069330.13	0.0000	0.0000
ENSMUST00000165735.8	0.0000	0.0000
ENSMUST00000115315.2	0.0000	0.0000
ENSMUST00000213815.1	0.0000	0.0000
ENSMUST00000064922.6	58.0000	606.0353
ENSMUST00000135573.7	181.0000	1891.2480
ENSMUST00000039610.9	207.5069	2168.2155
ENSMUST00000215822.1	0.6121	6.3960
ENSMUST00000216838.1	5.8810	61.4496
ENSMUST00000140974.7	88.7953	927.8116
ENSMUST00000114654.7	13.3333	139.3185
ENSMUST00000114657.8	13.3333	139.3185
ENSMUST00000114655.7	13.3333	139.3185
ENSMUST00000088546.11	13.3333	139.3185
ENSMUST00000114653.1	13.3333	139.3185
ENSMUST00000114656.7	13.3333	139.3185
ENSMUST00000085585.11	170.0000	1776.3103
ENSMUST00000135833.1	27.0000	282.1199
ENSMUST00000082414.1	85.0000	888.1551
